Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3
design__inferred_latch__count,0
design__instance__count,7542
design__instance__area,42928.7
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008450017194263637
power__switching__total,0.0007281497237272561
power__leakage__total,6.005417674259661E-8
power__total,0.0015732115134596825
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.43893839805249113
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.45024582558906495
timing__hold__ws__corner:nom_tt_025C_1v80,0.22807695266863762
timing__setup__ws__corner:nom_tt_025C_1v80,55.48553062944429
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.228077
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,40
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,4
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.5782535725035053
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.6021480151598738
timing__hold__ws__corner:nom_ss_100C_1v60,0.7012272072594377
timing__setup__ws__corner:nom_ss_100C_1v60,51.332841652549256
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.701227
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.37836823634073147
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.38749099470323684
timing__hold__ws__corner:nom_ff_n40C_1v95,0.0641054449890582
timing__setup__ws__corner:nom_ff_n40C_1v95,57.08784362375029
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.064105
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,87
design__max_fanout_violation__count,0
design__max_cap_violation__count,6
clock__skew__worst_hold,-0.3740266813245716
clock__skew__worst_setup,0.38168974616859247
timing__hold__ws,0.06207562417572877
timing__setup__ws,51.102902911326815
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.062076
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 520.0 520.0
design__core__bbox,5.52 10.88 514.28 508.64
design__io,603
design__die__area,270400
design__core__area,253240
design__instance__count__stdcell,7542
design__instance__area__stdcell,42928.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.169517
design__instance__utilization__stdcell,0.169517
design__instance__count__class:inverter,44
design__instance__count__class:sequential_cell,442
design__instance__count__class:multi_input_combinational_cell,2548
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,20394
design__instance__count__class:tap_cell,3607
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,601
design__io__hpwl,74812751
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,130833
design__violations,0
design__instance__count__class:timing_repair_buffer,712
design__instance__count__class:clock_buffer,89
design__instance__count__class:clock_inverter,51
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,352
antenna__violating__nets,5
antenna__violating__pins,5
route__antenna_violation__count,5
antenna_diodes_count,49
design__instance__count__class:antenna_cell,49
route__net,4394
route__net__special,2
route__drc_errors__iter:1,1181
route__wirelength__iter:1,163476
route__drc_errors__iter:2,428
route__wirelength__iter:2,162906
route__drc_errors__iter:3,274
route__wirelength__iter:3,162799
route__drc_errors__iter:4,0
route__wirelength__iter:4,162771
route__drc_errors,0
route__wirelength,162771
route__vias,26704
route__vias__singlecut,26704
route__vias__multicut,0
design__disconnected_pin__count,256
design__critical_disconnected_pin__count,0
route__wirelength__max,2174.35
timing__unannotated_net__count__corner:nom_tt_025C_1v80,320
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,320
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,320
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.43304142053484107
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.4431475867247965
timing__hold__ws__corner:min_tt_025C_1v80,0.22524599489808098
timing__setup__ws__corner:min_tt_025C_1v80,55.59667372731523
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.225246
